d,eta,N_needed
-96671,0.7674410868999999,4
-96667,0.302553933021,3
-96664,0.418069268084,3
-96663,0.4718320296,3
-96659,0.423961007431,4
-96655,0.46926265562,3
-96648,0.416594977105,3
-96647,0.5134608854989999,3
-96644,0.656677457484,4
-96643,0.419553613295,3
-96639,0.276055409414,3
-96635,0.134989138536,3
-96632,0.416228334253,3
-96631,0.264725359205,3
-96627,0.241011103155,3
-96623,0.6576909798739999,4
-96619,0.628586233079,4
-96616,0.140531486269,3
-96612,0.513014287166,4
-96611,0.451641184841,3
-96607,0.382068741356,3
-96603,0.183630762595,3
-96599,0.9089032282439999,5
-96596,0.56635610873,4
-96595,0.475090118247,3
-96591,0.755418658241,4
-96587,0.336955620865,3
-96584,0.212396886503,3
-96583,0.235337446308,3
-96580,0.21534211425,3
-96571,0.707336879558,4
-96568,0.5074901903829999,4
-96567,0.330666822808,3
-96564,0.67028363637,4
